,이름,PIP,birth,LSO,Go/Fo,Qs%,득점지원,구원방어율,Rel%,WPA
0,미란다,16.8,1989-01-10,28.4,0.57,75.0,5.39,,,
1,수아레즈,16.5,1992-09-11,26.2,1.00,45.5,6.27,,,
2,고영표,14.5,1991-09-16,19.2,1.93,84.0,5.83,,,
3,브룩스,15.6,1990-04-27,27.3,2.09,61.5,4.39,,,
4,폰트,17.3,1990-05-24,22.3,0.81,50.0,4.70,,,
5,루친스키,16.6,1988-12-30,24.3,1.46,63.3,5.84,,,
6,로켓,16.3,1994-05-03,16.1,2.19,66.7,5.95,,,
7,킹엄,16.4,1991-11-08,16.8,1.11,60.0,5.19,,,
8,뷰캐넌,16.8,1989-05-11,28.4,1.70,66.7,6.71,,,
9,요키시,15.7,1989-07-29,26.7,2.39,54.8,6.01,,,
10,쿠에바스,16.4,1990-10-14,23.4,0.76,47.8,5.13,,,
11,데스파이네,18.1,1987-04-04,23.6,1.45,63.6,5.39,,,
12,스트레일리,17.9,1988-12-01,18.3,0.84,45.2,4.78,,,
13,원태인,15.9,2000-04-06,18.6,1.29,61.5,4.08,,,
14,파슨스,17.8,1992-09-06,21.0,1.39,54.2,3.93,,,
15,배제성,17.2,1996-09-29,24.3,1.09,46.2,5.08,,,
16,켈리,16.4,1989-10-04,21.8,1.21,56.7,4.73,,,
17,한현희,16.3,1993-06-25,23.0,1.01,33.3,5.56,,,
18,김택형,17.0,1996-10-10,21.0,1.31,,0.00,2.39,29.4,2.25
19,정찬헌,16.3,1990-01-26,28.8,1.08,47.8,5.27,,,
20,장지훈,15.4,1998-12-06,21.6,1.62,,0.00,3.92,29.4,-0.67
21,소형준,17.6,2001-09-16,24.7,2.30,33.3,5.82,,,
22,멩덴,16.5,1993-02-19,24.0,0.88,47.6,5.70,,,
23,최원준,16.9,1994-12-21,15.0,0.52,51.7,6.42,,,
24,임기영,16.5,1993-04-16,25.6,0.90,46.4,4.71,,,
25,가빌리오,15.8,1990-05-22,25.7,1.70,33.3,9.07,,,
26,이의리,17.4,2002-06-16,20.4,0.81,21.1,3.14,,,
27,카펜터,17.6,1990-08-22,24.6,1.10,40.0,3.89,,,
28,장현식,17.1,1995-02-24,20.0,0.73,,0.00,3.29,40.0,1.98
29,안우진,17.3,1999-08-30,24.6,0.85,38.1,5.02,,,
30,백정현,15.9,1987-07-13,34.9,0.94,55.6,6.05,,,
31,임찬규,16.0,1992-11-20,16.4,0.86,41.2,3.77,,,
32,최원태,16.9,1997-01-07,18.3,1.01,39.3,5.90,,,
33,신민혁,17.2,1999-02-04,15.9,0.75,36.0,5.96,,,
34,송명기,18.3,2000-08-09,21.6,0.69,25.0,3.94,,,
35,박세웅,16.0,1995-11-30,16.0,1.40,64.3,5.52,,,
36,김민우,17.2,1995-07-25,15.2,1.17,39.3,5.13,,,
37,이민호,17.3,2001-08-30,20.0,0.91,31.8,5.43,,,
38,최채흥,17.1,1995-01-22,15.9,0.75,30.0,4.76,,,
39,윤대경,16.6,1994-04-09,22.2,0.75,0.0,3.38,,,
40,김동혁,16.2,2001-12-27,26.7,1.36,12.5,3.22,,,
41,곽빈,19.0,1999-05-28,20.8,0.48,4.8,4.56,,,
42,오원석,19.1,2001-04-23,14.7,0.99,23.8,6.13,,,
43,윤중현,17.1,1995-04-25,18.2,1.65,7.7,4.96,,,
44,프랑코,18.2,1992-12-29,21.8,0.83,33.3,6.67,,,
45,최민준,19.4,1999-06-11,32.3,1.03,8.3,4.77,,,
